Source,Timezone,Datetime_start,Datetime_end,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ppm),TVOC (index),NOx (index),O3 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot1.pc,slot1.pm25,slot1.pm1,slot1.pm10,slot2.pc,slot2.pm25,slot2.pm1,slot2.pm10,slot3.co2
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 11:00:00,2024-05-09 11:59:59,33,9,6,10,5,,,,,,28,82.4,54,,,,80743,634,,663,7,5,10,605,6,5,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 12:00:00,2024-05-09 12:59:59,75,31,22,35,17,,,,,,28,82.4,54,,,,80642,2713,,2782,23,18,36,2644,22,16,34
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 13:00:00,2024-05-09 13:59:59,33,9,6,10,4,,,,,,26,78.8,58,,,,80580,529,,542,6,4,9,516,6,4,11
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 14:00:00,2024-05-09 14:59:59,44,11,8,13,6,,,,,,22,71.6,68,,,,80554,708,,709,7,6,12,708,8,6,14
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 15:00:00,2024-05-09 15:59:59,68,26,18,37,10,,,,,,21,69.8,73,,,,80550,1258,,1323,17,10,32,1192,19,9,41
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 16:00:00,2024-05-09 16:59:59,33,9,6,10,4,,,,,,20,68,75,,,,80544,497,,517,6,4,10,476,6,4,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 17:00:00,2024-05-09 17:59:59,33,9,6,10,3,,,,,,19,66.2,81,,,,80598,431,,447,5,3,9,415,6,3,11
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 18:00:00,2024-05-09 18:59:59,22,6,4,6,3,,,,,,18,64.4,85,,,,80667,399,,411,4,3,6,387,4,3,6
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 19:00:00,2024-05-09 19:59:59,22,6,4,6,3,,,,,,18,64.4,88,,,,80714,400,,409,4,3,6,390,4,3,6
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 20:00:00,2024-05-09 20:59:59,11,3,2,3,2,,,,,,18,64.4,89,,,,80765,221,,228,2,2,3,213,2,2,3
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 21:00:00,2024-05-09 21:59:59,6,1,1,2,1,,,,,,17,62.6,91,,,,80796,141,,150,1,1,2,133,1,1,2
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 22:00:00,2024-05-09 22:59:59,6,1,1,2,1,,,,,,17,62.6,92,,,,80808,121,,125,1,1,2,117,1,1,2
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-09 23:00:00,2024-05-09 23:59:59,6,1,1,2,1,,,,,,17,62.6,91,,,,80786,106,,110,1,1,2,102,1,1,1
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-10 00:00:00,2024-05-10 00:59:59,6,1,1,2,1,,,,,,16,60.8,91,,,,80751,133,,140,1,1,2,125,1,1,2
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 09:00:00,2024-05-14 09:59:59,53,14,10,15,8,,,,,,26,78.8,57,,,,80908,4877,,4939,10,8,15,4815,10,7,15
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 10:00:00,2024-05-14 10:59:59,39,10,7,10,6,,,,,,28,82.4,53,,,,80858,1101,,1110,7,6,10,1093,7,5,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 11:00:00,2024-05-14 11:59:59,33,9,6,9,5,,,,,,29,84.2,49,,,,80785,551,,560,6,5,9,542,6,5,9
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 12:00:00,2024-05-14 12:59:59,33,9,6,9,5,,,,,,29,84.2,49,,,,80693,983,,971,6,5,9,995,6,5,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 13:00:00,2024-05-14 13:59:59,33,9,6,9,4,,,,,,28,82.4,52,,,,80644,508,,517,5,4,8,499,6,4,9
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 14:00:00,2024-05-14 14:59:59,22,6,4,7,3,,,,,,25,77,54,,,,80626,373,,385,4,3,6,361,5,3,8
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 15:00:00,2024-05-14 15:59:59,28,7,5,9,4,,,,,,23,73.4,61,,,,80613,459,,475,5,4,8,444,6,3,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 16:00:00,2024-05-14 16:59:59,33,9,6,9,4,,,,,,23,73.4,64,,,,80633,510,,528,6,4,9,493,6,4,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 17:00:00,2024-05-14 17:59:59,33,9,6,10,5,,,,,,20,68,71,,,,80713,590,,614,6,5,10,566,6,5,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 18:00:00,2024-05-14 18:59:59,66,24,17,28,13,,,,,,20,68,76,,,,80767,1725,,1753,17,13,27,1697,17,13,28
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 19:00:00,2024-05-14 19:59:59,55,16,11,17,8,,,,,,18,64.4,84,,,,80794,1001,,1031,11,9,17,972,11,8,17
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 20:00:00,2024-05-14 20:59:59,44,11,8,12,6,,,,,,17,62.6,89,,,,80846,674,,694,7,6,12,653,8,6,12
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 21:00:00,2024-05-14 21:59:59,28,7,5,7,4,,,,,,17,62.6,88,,,,80877,459,,480,5,4,8,438,5,3,7
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 22:00:00,2024-05-14 22:59:59,33,9,6,9,5,,,,,,17,62.6,84,,,,80892,562,,587,6,5,10,537,6,4,9
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-14 23:00:00,2024-05-14 23:59:59,17,4,3,5,2,,,,,,17,62.6,83,,,,80838,636,,641,3,2,5,631,3,2,5
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 11:00:00,2024-05-15 11:59:59,39,10,7,10,6,,,,,,23,73.4,63,,,,80878,31713,,31680,7,6,11,31746,6,5,9
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 12:00:00,2024-05-15 12:59:59,53,14,10,15,7,,,,,,25,77,59,,,,80837,1548,,1564,9,7,14,1533,10,7,16
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 13:00:00,2024-05-15 13:59:59,28,7,5,7,4,,,,,,29,84.2,47,,,,80757,458,,466,5,4,7,451,5,4,7
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 14:00:00,2024-05-15 14:59:59,28,7,5,8,4,,,,,,28,82.4,50,,,,80697,466,,474,5,4,7,458,5,4,8
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 15:00:00,2024-05-15 15:59:59,44,11,8,12,6,,,,,,20,68,71,,,,80711,731,,747,8,6,12,715,8,6,12
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 16:00:00,2024-05-15 16:59:59,56,17,12,19,9,,,,,,19,66.2,77,,,,80750,1068,,1099,12,9,19,1038,12,9,20
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 17:00:00,2024-05-15 17:59:59,69,27,19,30,14,,,,,,19,66.2,79,,,,80829,1642,,1701,18,14,29,1584,19,13,31
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-15 18:00:00,2024-05-15 18:59:59,97,49,34,55,25,,,,,,18,64.4,83,,,,80861,3398,,3598,36,27,57,3198,31,22,52
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 09:00:00,2024-05-17 09:59:59,50,13,9,13,6,,,,,,28,82.4,58,,,,80930,5293,,5175,9,7,13,5412,9,6,13
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 10:00:00,2024-05-17 10:59:59,44,11,8,12,6,,,,,,30,86,52,,,,80888,742,,745,8,6,12,740,8,6,13
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 11:00:00,2024-05-17 11:59:59,39,10,7,10,6,,,,,,29,84.2,52,,,,80830,625,,614,7,5,10,635,7,6,11
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 12:00:00,2024-05-17 12:59:59,33,9,6,10,5,,,,,,28,82.4,54,,,,80735,601,,597,6,5,10,605,7,5,10
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 13:00:00,2024-05-17 13:59:59,58,19,13,21,10,,,,,,25,77,68,,,,80678,1149,,1188,13,10,21,1110,14,10,22
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 14:00:00,2024-05-17 14:59:59,69,27,19,30,14,,,,,,25,77,72,,,,80628,1699,,1764,19,14,30,1635,19,13,30
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 15:00:00,2024-05-17 15:59:59,58,19,13,20,10,,,,,,18,64.4,95,,,,80651,1187,,1211,13,11,20,1164,13,10,21
twrgmdgz53t,Europe/Zurich UTC+02:00,2024-05-17 16:00:00,2024-05-17 16:59:59,60,20,14,21,11,,,,,,19,66.2,89,,,,80673,1234,,1284,14,11,21,1185,13,10,20
